  -6.8750000e+00   7.9094725e-04   9.2576780e-04   7.4600706e-04   1.6897509e-03   1.2763012e-03   1.7886193e-03   1.6627868e-03   1.1414807e-03   1.4830261e-03
  -6.3750000e+00   9.1012920e-04   2.2574773e-03   1.5436505e-03   8.2357770e-03   3.2568349e-03   1.0752017e-02   8.6908416e-03   1.5793419e-03   2.1147120e-03
  -5.3750000e+00   1.0956317e-03   1.0778166e-02   7.5179933e-03   5.9858904e-02   2.8228105e-02   8.5771040e-02   4.6301575e-02   3.2601725e-03   6.5381601e-03
  -3.8750000e+00   1.8253375e-03   4.5277273e-02   3.3506073e-02   1.9182071e-01   1.2146063e-01   2.5472807e-01   1.2467500e-01   8.2807992e-03   4.5802614e-02
  -3.3750000e+00   5.8404038e-03   1.2698427e-01   9.5467455e-02   4.3916098e-01   3.0508988e-01   5.1448972e-01   2.3156845e-01   3.9787751e-02   2.2480213e-01
  -2.3750000e+00   3.0503554e-02   2.3172013e-01   1.5914394e-01   6.6521793e-01   4.5098947e-01   7.1951871e-01   2.7114765e-01   1.5757646e-01   5.8182968e-01
  -1.3750000e+00   1.5341486e-01   3.1004760e-01   1.7653718e-01   7.2908384e-01   4.2867203e-01   7.3157970e-01   2.0844847e-01   4.7514841e-01   9.6012871e-01
   1.2500000e-01   3.5113498e-01   2.9669703e-01   1.2462041e-01   5.8938669e-01   2.5875166e-01   5.5680229e-01   1.0062960e-01   8.5775605e-01   9.9529802e-01
   6.2500000e-01   5.3380824e-01   2.1320136e-01   4.8015439e-02   3.4967050e-01   6.6140178e-02   3.2367511e-01   2.0641570e-02   1.0955062e+00   6.6667556e-01
   1.6250000e+00   5.4753653e-01   1.4960364e-01   1.6938609e-02   2.2571185e-01   1.7667342e-02   2.0235683e-01   4.9767161e-03   1.0331040e+00   3.9709751e-01
   2.6250000e+00   4.3435523e-01   7.4360574e-02   2.3527315e-03   9.7415560e-02   2.6824704e-03   8.2737724e-02   1.6754300e-03   7.1972195e-01   9.5668835e-02
   3.1250000e+00   1.9325560e-01   2.6605268e-02   1.0154002e-03   2.4022232e-02   1.5676355e-03   2.2757435e-02   9.7086514e-04   2.7162847e-01   7.9005264e-03
   4.6250000e+00   3.9287748e-02   5.6417740e-03   7.8308536e-04   3.9243255e-03   1.2280202e-03   4.0667046e-03   9.0766712e-04   4.0524667e-02   2.6696092e-03
   5.6250000e+00   4.5576336e-03   1.2106214e-03   6.9432699e-04   1.7714240e-03   1.1127035e-03   1.6468012e-03   8.9016281e-04   4.8513873e-03   1.9672598e-03
   6.1250000e+00   1.2811958e-03   1.1121491e-03   7.2067263e-04   1.1833267e-03   9.6089684e-04   1.2811958e-03   9.0751368e-04   2.4289337e-03   1.4947284e-03
   7.1250000e+00   1.1352464e+00   1.2236001e+00   5.7845517e-01   2.5858424e+00   1.2905032e+00   2.4879857e+00   5.5123521e-01   2.9380395e+00   4.0493106e+00
   2.8060000e+02   9.7561188e-04   1.5665184e-03   1.0170484e-03   1.7332459e-03   1.0295884e-03   1.8723853e-03   1.0717882e-03   1.1691640e-03   1.2477844e-03
   2.8210000e+02   9.7711270e-04   1.5830995e-03   1.0039727e-03   1.7187095e-03   1.0652264e-03   1.8919889e-03   1.0835698e-03   1.1860962e-03   1.2810888e-03
   2.8310000e+02   9.8397314e-04   1.6403914e-03   1.0017466e-03   1.8179078e-03   1.0582291e-03   1.9361067e-03   1.1428438e-03   1.1892947e-03   1.2965896e-03
   2.8410000e+02   9.7359217e-04   1.7081137e-03   1.1065180e-03   2.1372651e-03   1.1891476e-03   2.2597398e-03   1.4210331e-03   1.2149490e-03   1.3370971e-03
   2.8560000e+02   9.6688351e-04   2.0019677e-03   1.2752551e-03   2.8644291e-03   1.6459536e-03   2.9476405e-03   2.0009887e-03   1.2501285e-03   1.5301103e-03
   2.8610000e+02   9.9848922e-04   2.5330713e-03   1.7706716e-03   4.2101549e-03   2.4306789e-03   4.4162441e-03   2.9406845e-03   1.2812097e-03   1.9624128e-03
   2.8710000e+02   1.0768495e-03   3.6853487e-03   2.5432949e-03   5.9075122e-03   3.4600677e-03   6.4852226e-03   4.1456912e-03   1.6933564e-03   3.0730800e-03
   2.8860000e+02   1.2362854e-03   5.0074122e-03   3.3247991e-03   7.6866825e-03   4.4609949e-03   8.6628002e-03   5.0664226e-03   2.3643306e-03   4.4186117e-03
   2.8910000e+02   1.6921953e-03   6.4449518e-03   3.9707399e-03   9.2426668e-03   5.1290898e-03   1.0676581e-02   5.6211928e-03   3.7401787e-03   6.1018820e-03
   2.9060000e+02   2.2582512e-03   7.6211903e-03   4.3948842e-03   1.0142567e-02   5.3926100e-03   1.1919236e-02   5.9315775e-03   5.3212041e-03   7.1637363e-03
   2.9110000e+02   2.9335349e-03   8.2888658e-03   4.4061694e-03   1.0422198e-02   5.4237801e-03   1.2575086e-02   5.6415136e-03   6.7272474e-03   7.7256271e-03
   2.9260000e+02   3.3724770e-03   8.3380372e-03   4.2844854e-03   1.0376702e-02   5.1206017e-03   1.2341103e-02   5.3746612e-03   7.7028885e-03   7.7680320e-03
   2.9310000e+02   3.5149402e-03   8.1358507e-03   4.0252628e-03   9.8807825e-03   4.8120779e-03   1.2049409e-02   5.2266539e-03   7.9108137e-03   7.3962575e-03
   2.9460000e+02   3.5109677e-03   7.9323190e-03   3.9476002e-03   9.5153966e-03   4.6642505e-03   1.1542595e-02   5.0022255e-03   7.8375688e-03   7.0105394e-03
