#9.885	-0.100149e-4	-0.155913e-6	-1.55640218E-06   -1.40277165E-06
9.885	-0.100149e-4	-0.155913e-6	-0.146382e-5	-0.817538e-7
9.9	-0.998530E-05	-0.155008E-06	-0.145940E-05	-0.812789E-07
10	-0.978480e-5	-0.148937e-6	-0.142941e-5	-0.780959e-7
10.25   -0.930915E-05   -0.135006E-06   -0.135835E-05    -0.707911E-07
10.5	-0.886733E-05   -0.122659E-06   -0.129245E-05   -0.643169E-07
11	-0.807302e-5	-0.101906e-6	-0.117420e-5	-0.534349e-7
12	-0.677391e-5	-0.719974e-7	-0.981589e-6	-0.377521e-7
13	-0.576487e-5	-0.522581e-7	-0.832721e-6	-0.274017e-7
14	-0.496559e-5	-0.388146e-7	-0.715315e-6	-0.203526e-7
15	-0.432174e-5	-0.294091e-7	-0.621104e-6	-0.154208e-7
16	-0.379548e-5	-0.226732e-7	-0.544362e-6	-0.118888e-7
