5.93	-0.281013e-4	-0.114614e-5	-0.842057e-5	-0.727735e-6
6	-0.274564e-4	-0.109657e-5	-0.822537e-5	-0.696262e-6
6.1	-0.265553e-4	-0.102900e-5	-0.795260e-5	-0.653358e-6
6.25	-0.252840e-4	-0.937071e-6	-0.756789e-5	-0.594987e-6
6.5	-0.233583e-4	-0.805436e-6	-0.698537e-5	-0.511406e-6
7	-0.201101e-4	-0.604507e-6	-0.600377e-5	-0.383828e-6
7.5	-0.174931e-4	-0.462263e-6	-0.521409e-5	-0.293511e-6
8 	-0.153548E-04	-0.359312E-06	 -0.456997E-05	-0.228143E-06
9 	-0.121036E-04	-0.226264E-06	-0.359270E-05	 -0.143665E-06
10 	-0.978480E-05	-0.148937E-06	-0.289795E-05	 -0.945669E-07
12 	-0.677391E-05 	-0.719974E-07	-0.199907E-05	-0.457143E-07
14	-0.496559E-05	-0.388146E-07	-0.146162E-05	-0.246451E-07
16	-0.379548E-05	-0.226732E-07	 -0.111505E-05	-0.143962E-07
18 	-0.299514E-05	-0.140848E-07	-0.878641E-06	-0.894304E-08
20 	-0.242370E-05	-0.918640E-08	 -0.710201E-06	-0.583284E-08
