5    -0.396513E-04  -0.220265E-05  -0.157819E-04  -0.149068E-05
5.5  -0.327258E-04  -0.153109E-05  -0.130132E-04   -0.103619E-05
6    -0.274564E-04  -0.109657E-05    -0.109061E-04  -0.742124E-06
7    -0.201101E-04  -0.604507E-06    -0.797065E-05  -0.409110E-06
8    -0.153548E-04  -0.359312E-06   -0.607411E-05  -0.243170E-06
9    -0.121036E-04  -0.226264E-06    -0.477996E-05  -0.153128E-06
10   -0.978480E-05  -0.148937E-06   -0.385883E-05     -0.100796E-06
11   -0.807302E-05  -0.101906E-06     -0.317991E-05     -0.689667E-07
12   -0.677391E-05  -0.719974E-07     -0.266547E-05     -0.487254E-07
13   -0.576487E-05  -0.522581E-07     -0.226644E-05      -0.353665E-07
14   -0.496559E-05  -0.388146E-07    -0.195075E-05      -0.262684E-07
15   -0.432174E-05  -0.294091E-07    -0.169672E-05      -0.199031E-07
16   -0.379548E-05  -0.226732E-07      -0.148928E-05     -0.153444E-07
17   -0.335984E-05  -0.177494E-07      -0.131770E-05     -0.120122E-07
18   -0.299514E-05  -0.140848E-07      -0.117417E-05     -0.953211E-08
19   -0.268677E-05  -0.113131E-07     -0.105289E-05    -0.765632E-08
20   -0.242370E-05  -0.918640E-08        -0.949480E-06     -0.621705E-08
