3       -0.108592e-3   	-0.148638e-4	-0.582870e-4    -0.103854e-4
4       -0.619790e-4   	-0.512008e-5    -0.334125e-4    -0.357740e-5
5	-0.396513e-4   	-0.220265e-5    -0.213734e-4    -0.153899e-5
6	-0.274564e-4   	-0.109657e-5	-0.147873e-4	-0.766176e-6
7	-0.201101e-4	-0.604507e-6	-0.108208e-4	-0.422369e-6
8	-0.153548e-4	-0.359312e-6	-0.825533e-5	-0.251051e-6
9	-0.121036e-4	-0.226264e-6	-0.650277e-5	-0.158091e-6
10	-0.978480e-5	-0.148937e-6	-0.525388e-5	-0.104063e-6
11	-0.807302e-5	-0.101906e-6	-0.433256e-5	-0.712078e-7
12	-0.677391e-5	-0.719974e-7	-0.363380e-5	-0.503046e-7
12.399  -0.634226e-05   -0.631772e-07   -0.340172e-05   -4.41376e-08
13	-0.576487e-5	-0.522581e-7	-0.309137e-5	-0.365127e-7
14	-0.496559e-5	-0.388146e-7	-0.266193e-5	-0.271198e-7
15	-0.432174e-5	-0.294091e-7	-0.231615e-5	-0.205481e-7
16	-0.379548e-5	-0.226732e-7	-0.203364e-5	-0.158417e-7
17	-0.335984e-5	-0.177494e-7	-0.179985e-5	-0.124015e-7
17.479  -0.317729E-5    -0.158629E-7    -0.170191E-5    -0.110834E-7
18	-0.299514e-5	-0.140848e-7	-0.160420e-5	-0.984104e-8
19	-0.268677e-5	-0.113131e-7	-0.143881e-5	-0.790446e-8
20	-0.242370e-5	-0.918640e-8	-0.129775e-5	-0.641854e-8
30 -0.107433E-05    -0.174912E-08   -0.574770E-06    -0.122211E-08
