6.4609  -0.236587E-04 -0.825368E-06  -0.934171E-05  -0.726508E-06
7	-0.201101E-04 -0.604507E-06  -0.792449E-05  -0.532101E-06 
7.5 	-0.174931E-04 -0.462263E-06  -0.688113E-05  -0.406895E-06
8 	-0.153548E-04 -0.359312E-06  -0.603022E-05  -0.316274E-06
8.332   -0.141437E-04 -0.306406E-06  -0.554885E-05  -0.269706E-06
8.979   -0.121608E-04 -0.228368E-06  -0.476212E-05   -0.201015E-06
9	-0.121036E-04 -0.226264E-06   -0.473947E-05  -0.199163E-06	
10	-0.978480E-05 -0.148937E-06  -0.382214E-05  -0.131098E-06
12	-0.677391E-05 -0.719974E-07   -0.263570E-05 -0.633738E-07
14	 -0.496559E-05  -0.388146E-07 -0.192661E-05   -0.341655E-07
16 	-0.379548E-05 -0.226732E-07   -0.146952E-05    -0.199575E-07
18 	 -0.299514E-05 	-0.140848E-07 -0.115779E-05  -0.123978E-07
20	-0.242370E-05  -0.918640E-08  -0.935731E-06   -0.808608E-08

 
