10	-0.183610E-04	-0.363849E-06	 -0.108950E-04	-0.253880E-06
10.5	 -0.163588E-04	-0.301775E-06	 -0.967607E-05	  -0.210567E-06
10.8    -0.151279E-04    -0.270867E-06     -0.891248E-05    -0.189001E-06
10.9    -0.146528E-04    -0.261456E-06    -0.861093E-05     -0.182434E-06
11	-0.140463E-04	 -0.252453E-06	 -0.821698E-05	 -0.176152E-06
11.1	-0.119658E-04  	 -0.243836E-06	 -0.679370E-05	 -0.170140E-06
11.2   -0.135874E-04 	-0.184952E-05	 -0.795282E-05	  -0.129053E-05
11.3     -0.137337E-04  -0.178273E-05     -0.808182E-05     -0.124392E-05
11.4    -0.137159E-04   -0.171940E-05        -0.809563E-05    -0.119973E-05 
11.5     -0.136330E-04    -0.165933E-05      -0.806331E-05      -0.115782E-05
11.6      -0.135161E-04    -0.160229E-05      -0.800664E-05     -0.111802E-05
