   3.0858303e+00   9.9266189e-04   1.5782976e-02   1.1427125e-02   1.5635588e-02  -1.2245361e-04   1.0647405e-02   2.7535155e-03   1.1157269e-02   1.4246379e-02   2.1839518e-02   4.2354042e-03   2.0429475e-03   3.2305503e-03   8.2939891e-03   1.0387934e-02   1.2375552e-02   5.1938525e-03   1.2059821e-02   1.5919192e-02
   4.1030201e+00   6.4292775e-04   1.0130736e-02   6.9955510e-03   9.9660799e-03   9.9960300e-04   7.8157259e-03   1.7458543e-03   6.3905836e-03   9.0662986e-03   1.3985101e-02   2.9614182e-03   1.4185697e-03   2.1462736e-03   5.5302461e-03   6.7341094e-03   7.5286850e-03   3.2825709e-03   7.5203714e-03   9.9820658e-03
   5.0937013e+00   5.0536897e-04   6.8293213e-03   4.8630238e-03   6.7624574e-03   1.1355390e-03   6.2272295e-03   1.5214173e-03   4.0659108e-03   6.1544638e-03   9.0028068e-03   2.2201583e-03   1.0774612e-03   1.5279675e-03   3.9602925e-03   4.7452924e-03   5.3984025e-03   2.0637120e-03   4.9631160e-03   6.7994594e-03
   6.0846388e+00   4.2576252e-04   5.1136190e-03   3.6248229e-03   5.1955842e-03   1.0685069e-03   5.2945728e-03   1.4079231e-03   2.6708883e-03   4.1244414e-03   6.2930094e-03   1.7685205e-03   8.7025184e-04   1.3431906e-03   2.8468137e-03   3.5624120e-03   4.0035594e-03   1.5513927e-03   3.3093878e-03   4.7993197e-03
   7.1026253e+00   2.9412561e-04   3.9410930e-03   2.7948759e-03   3.8615099e-03   1.1988906e-03   4.6376729e-03   1.4966933e-03   2.0979824e-03   3.3666822e-03   5.1656190e-03   1.5655615e-03   6.9128689e-04   1.0732521e-03   2.2160408e-03   2.5598341e-03   3.1542284e-03   1.1295526e-03   2.5591876e-03   3.6188283e-03
   8.0940826e+00   2.7517515e-04   3.3295381e-03   2.2626825e-03   3.3443850e-03   1.2393036e-03   4.2936094e-03   1.6269102e-03   1.7279375e-03   2.6918445e-03   3.9681672e-03   1.3753868e-03   6.2136730e-04   1.0975580e-03   1.7022143e-03   1.9908889e-03   2.3468482e-03   9.6039682e-04   2.0098858e-03   2.8397067e-03
   9.0857964e+00   2.7305846e-04   2.7017612e-03   2.1157925e-03   3.1018421e-03   1.3880184e-03   4.0382621e-03   1.7889035e-03   1.4920569e-03   2.1117601e-03   3.2918755e-03   1.2968208e-03   6.5997398e-04   9.4615173e-04   1.3801477e-03   1.5621432e-03   2.0926991e-03   6.5371187e-04   1.5620561e-03   2.4588723e-03
   1.0104580e+01   2.3460194e-04   2.3000727e-03   1.7060309e-03   2.8270332e-03   1.5887477e-03   4.0165025e-03   1.7672802e-03   1.2934795e-03   1.9088658e-03   2.9117416e-03   1.1839302e-03   5.2699107e-04   8.6283894e-04   1.2369369e-03   1.3150647e-03   1.8823171e-03   5.7000942e-04   1.4213782e-03   2.0826921e-03
   1.1096815e+01   2.8715793e-04   1.9294391e-03   1.6072555e-03   2.6531864e-03   1.6290781e-03   3.9923571e-03   1.8583408e-03   1.0807045e-03   1.7555536e-03   2.4848484e-03   1.2057584e-03   5.6499192e-04   8.9421620e-04   1.0654127e-03   1.2241296e-03   1.7439169e-03   4.8575477e-04   1.2420951e-03   1.7836842e-03
   1.2089306e+01   1.9450112e-04   1.7985997e-03   1.5541334e-03   2.5624698e-03   1.7364293e-03   3.9394722e-03   1.7714822e-03   9.8483248e-04   1.7831342e-03   2.5400355e-03   1.1636970e-03   5.3569931e-04   9.1794780e-04   1.0174133e-03   9.0151689e-04   1.5958918e-03   4.7409570e-04   1.0416599e-03   1.5727725e-03
